Year,ID,Type,Lat,Lon,Species_1,Species_2,Height,Orientation,Eggs,Chicks,Deaths
2024,1,iButton,51.4895989,7.413253,BT,,221,76,7,5,0
2024,2,Nest,51.4902989,7.4134612,,,206,301,5,0,0
2024,3,iButton,51.4900072,7.4135486,,,199,337,0,0,0
2024,4,Nest,51.4897498,7.4136781,GT,,204,302,6,6,
2024,5,Nest,51.4902361,7.4139424,,,204,350,0,0,0
2024,6,Nest,51.489908,7.4141005,BT,,201,247,8,8,
